"","📈  Tráfego Diário — Set Uma linha por dia. Campos amarelos = preencher. Campos cinza = calculados automaticamente. IDENTIFICAÇÃO","","META — WhatsApp","","","META — Lead Ads","","","META — Landing Page","","","META — Seguidores","","","Meta - Visitas no Perfil do Instagram","","","TOTAIS DO DIA","","","","","","","",""
"","15/09/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","16/09/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","17/09/2026","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","18/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","19/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","20/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","21/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","22/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","23/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","24/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","25/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","26/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","27/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","28/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","29/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","30/09/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","01/10/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","R$ 0,00","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
"","","","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 269,29","75","R$ 3,59","R$ 719,00","R$ 2,93","","","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","","",""
